	commit{dir=NRTCachingDirectory(MMapDirectory@/Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2015-01-08 14:16:02.517; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2015-01-08 14:16:02.524; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@401e1f8d[collection1] main
INFO  - 2015-01-08 14:16:02.530; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/conf
INFO  - 2015-01-08 14:16:02.531; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/conf}
INFO  - 2015-01-08 14:16:02.534; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/conf
INFO  - 2015-01-08 14:16:02.541; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/conf
INFO  - 2015-01-08 14:16:02.542; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2015-01-08 14:16:02.542; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2015-01-08 14:16:02.543; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/conf
INFO  - 2015-01-08 14:16:02.545; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/conf
INFO  - 2015-01-08 14:16:02.546; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2015-01-08 14:16:02.546; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2015-01-08 14:16:02.547; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2015-01-08 14:16:02.548; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/conf
INFO  - 2015-01-08 14:16:02.548; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/conf
INFO  - 2015-01-08 14:16:02.548; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2015-01-08 14:16:02.550; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2015-01-08 14:16:02.553; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2015-01-08 14:16:02.553; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2015-01-08 14:16:02.561; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2015-01-08 14:16:02.568; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2015-01-08 14:16:02.570; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Users/alan/Code/solrnutch/solr-4.10.3/example/solr/collection1/conf/elevate.xml
INFO  - 2015-01-08 14:16:02.599; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
